Employer,2011/12,2012/13,2013/14,2014/15,Job title
A Rocha Canada,1,,,,Conservation intern
ACEVO,,1,,,Junior policy officer
ADAS,1,,,,Research technician
Abacus International,1,,,,Research assistant
Abbey School,,1,,,Teaching assistant
Active Northumberland,,,1,,Lifeguard
Albert Goodman,1,,,,Trainee accountant
Alcontrol,2,,,,Lab technician
Alpine Exploratory,,1,,,Bookings supervisor
Ambassador Theatre Group,,,,1,Graduate trainee
Apollo,,1,,,Teacher of English as a foreign language
Asda,2,1,,1,"Home shopper, Shop assistant, Groceries assistant, Store assistant"
Asset handling,,1,,,Administration assistant
AstraZeneca,,1,,,Microbiology technician
Atem,,,,1,Laboratory scientist
Atkins,,,1,1,"Assistant ecologist, Graduate ecologist"
BBSRC,,1,,,Digital news media assistant
BSG Ecology,,1,,,Ecologist
BSkyB,,1,,,Customer service advisor
BYG Systems,,1,,,New business and tendering
Barclays,,1,,,Telephony business banker
Baxter Healthcare,,1,,,QA microbiologist
Ben Cherry Photos,,,1,,Self-employed photographer
Biffa Waste Services,,,1,,Environmental control advisor
BioMed Central,,,,1,Journal development editor
Birmingham Nature Centre,1,,,,Information assistant
Blue Arrow,,,,1,Warehouse operative
Blueprint Partnership,,,1,,Research executive
Bodleian Library,,,1,,Library assistant
Boots,,,,1,BAU assistant
Bourne Leisure,,,,1,Bar staff
Breakthrough Breast Cancer,,,1,,Research assistant
British American Tobacco,,1,,,Senior technician
British Ecological Society,,1,,,Policy and education assistant
Buchanan,,,,1,Recruitment consultant
Burnage Academy for Boys,,,1,,Secondary school teacher
C J Ball,,1,,,Online sales assistant
CH2M Hill,,,1,,Environmental specialist
Canopius Managing Agents,,,,1,Insurance underwriting technician
Centrica,,,,1,Marketing graduate
Chester Zoo,,1,1,,"Herpetology intern, One year intern"
Christ Church Central,,,1,,Church apprentice
Claremont Primary School,,1,,,Teaching assistant
Conisborough College,,,,1,Science technician
Connells,1,,,,Customer service advisor
Conservation Volunteers,1,,,,Conservation volunteer
Cook,1,,,,Retail assistant
Core,,,,1,Fundraising officer
Costelle Consulting,,,1,,Intern
Country Boarding for Cats and Dogs,,1,,,Kennel maid
Covance,1,1,,,"Animal technician, Animal Husbandry technician"
Coventry Chemicals,1,,,,Technical assistant
CragX Climbing Shop,,1,,,Shop assistant
DSV-UK,1,,,,Breeding and trials programme assistant
Deloitte,,,2,1,"Analyst, Risk analyst, Tax analyst"
Direct Line Group,,1,,,
EUCOPE,,,1,,Political analyst
Ecus,,,1,,Ecologist
Essex Wildlife Trust,,,1,,Education officer
Explore Learning,,,1,,Tutor
Exscitec,,,1,,Self-employed science communicator
F.A.C.E.,,,,1,Conservation policy assistant
First Environment Consultants,,,1,,Ecologist
Future Science Group,,,1,,Webinar producer and community manager
GP Bullhound,,,,1,Investment banking analyst
Gerdon Equestrian Centre,1,,,,Groom
Gerrys Bakery and Coffee House,,,1,,Baker
Globus,,,,1,Retail buyer
GovNet Communication,1,,,,Media sales executive
Granelli Bros of Sheffield,,,,1,Ice cream vendor
Grange Clinic,,,,1,Medical receptionist
Grange Hotels,1,,,,Health club sales executive
Green Island Foundation,,,,1,Environment assistant
Greenfield Brewery,,,,1,Brewer
HFL Risk Services,,1,,,Environmental consultant
Hamilton Primary School,1,,,,Teaching assistant
Hanson Construction,,,1,,Labourer
Hargreaves Lansdown,1,,,,Investment helpdesk consultant
Harlan laboratories,,1,,,Trainee laboratory technician
Health and Safety Executive,,1,,,HM Inspector of Health and safety
Heineken UK,,,1,,Supply chain graduate
High Adventure Outdoor Education Centre,1,,,,Outdoors activity instructor
Hillier,,,,1,Farm shop assistant
Hilton Primary School,1,,,,Primary teacher
Honeybuns,,,,1,Admin and finance assistant
Imperial Tobacco,,1,,,Manufacturing innovation graduate
Intercounty,,1,,,Gas compliance clerk
Inventive Leisure,,1,,,Bar staff
KD and Son Precision Engineering,,,,1,Administration assistant
KPMG,,,1,,Graduate trainee
Kellham Island Tavern,,,,1,Bar staff
Kemnal Technology College,1,,,,Teaching professional
Kent Wildlife Trust,1,,1,,"Volunteer trainee local wildlife sites assistant, Local wildlife sites volunteer trainee"
Kingswood Academy,,,1,,Secondary school teacher
Knowhow,,,1,,Tech support
