,2011/12 survey,,2012/13 survey,,2013/14 survey,,2014/15 survey,
,Number,Percentage,Number,Percentage,Number,Percentage,Number,Percentage
"Agriculture, forestry and fishing",0,0.00%,0,0.00%,0,0.00%,0,0.00%
Crop and animal production,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Forestry and logging,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Fishing,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mining and quarrying,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mining of coal and lignite,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Extraction of petroleum and gas,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mining of metal ores,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Other mining and quarrying,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mining support services,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacturing,1,1.90%,6,8.70%,2,3.20%,5,7.50%
Manufacture of food products,0,0.00%,1,1.40%,1,1.60%,1,1.50%
Manufacture of beverages,0,0.00%,0,0.00%,1,1.60%,1,1.50%
Manufacture of tobacco products,0,0.00%,2,2.90%,0,0.00%,0,0.00%
Manufacture of textiles,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of wearing apparel,0,0.00%,1,1.40%,0,0.00%,1,1.50%
Manufacture of leather and related products,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of wood and wood products,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of paper and paper products,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Printing and reproduction of recorded media,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of coke and refined petroleum products,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of chemicals and chemical products,1,1.90%,0,0.00%,0,0.00%,0,0.00%
Manufacture of pharmaceutical products,0,0.00%,2,2.90%,0,0.00%,0,0.00%
Manufacture of rubber and plastic products,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of other non-metallic mineral products,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of basic metals,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of fabricated metal products,0,0.00%,0,0.00%,0,0.00%,0,0.00%
"Manufacture of computer, electronic and optical products",0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of electrical equipment,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of other machinery and equipment,0,0.00%,0,0.00%,0,0.00%,0,0.00%
"Manufacture of motor vehicles, trailers and semi-trailers",0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of other transport equipment,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture of furniture,0,0.00%,0,0.00%,0,0.00%,1,1.50%
Manufacture of jewellery and other goods,0,0.00%,0,0.00%,0,0.00%,1,1.50%
Repair and installation of machinery and equipment,0,0.00%,0,0.00%,0,0.00%,0,0.00%
"Electricity, gas, steam and air conditioning supply",0,0.00%,0,0.00%,0,0.00%,1,1.50%
"Electric power generation, transmission and distribution",0,0.00%,0,0.00%,0,0.00%,0,0.00%
Manufacture and distribution of gas,0,0.00%,0,0.00%,0,0.00%,1,1.50%
Steam and air conditioning supply,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Active across more than one part of sector,0,0.00%,0,0.00%,0,0.00%,0,0.00%
"Water supply, sewerage, waste management and remediation activities",0,0.00%,1,1.40%,1,1.60%,0,0.00%
"Water collection, treatment and supply",0,0.00%,1,1.40%,0,0.00%,0,0.00%
Sewerage,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Waste collection and treatment,0,0.00%,0,0.00%,1,1.60%,0,0.00%
Remediation activities,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Construction,0,0.00%,0,0.00%,2,3.20%,0,0.00%
Construction of buildings,0,0.00%,0,0.00%,1,1.60%,0,0.00%
Civil engineering,0,0.00%,0,0.00%,1,1.60%,0,0.00%
Specialised construction activities,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Wholesale and retail trade; repair of motor vehicles and motor cycles,7,13.00%,9,13.00%,1,1.60%,8,11.90%
Trade and repair of motor vehicles and motorcycles,0,0.00%,1,1.40%,0,0.00%,0,0.00%
"Wholesale trade, except of motor vehicles and motorcycles",2,3.70%,0,0.00%,0,0.00%,1,1.50%
"Retail trade, except of motor vehicles and motorcycles",5,9.30%,8,11.60%,1,1.60%,7,10.40%
Accommodation and food service activities,0,0.00%,0,0.00%,1,1.60%,2,3.00%
